Reporting Area,Current MMWR Year,Population
Alabama,2022,5076181
Alaska,2022,734442
Arizona,2022,7377566
Arkansas,2022,3047704
California,2022,39142414
Colorado,2022,5850935
Connecticut,2022,3617925
Delaware,2022,1020625
District of Columbia,2022,676725
Florida,2022,22379312
Georgia,2022,10931805
Hawaii,2022,1440359
Idaho,2022,1944299
Illinois,2022,12621821
Indiana,2022,6844545
Iowa,2022,3202820
Kansas,2022,2937324
Kentucky,2022,4519233
Louisiana,2022,4593687
Maine,2022,1390922
Maryland,2022,6192440
Massachusetts,2022,7022468
Michigan,2022,10050877
Minnesota,2022,5721621
Mississippi,2022,2941939
Missouri,2022,6179414
Montana,2022,1122095
Nebraska,2022,1972246
Nevada,2022,3176116
New Hampshire,2022,1396678
New Jersey,2022,9295227
New Mexico,2022,2113868
New York,2022,19703747
North Carolina,2022,10710793
North Dakota,2022,781057
Ohio,2022,11777874
Oklahoma,2022,4026229
Oregon,2022,4247372
Pennsylvania,2022,12984990
Rhode Island,2022,1099498
South Carolina,2022,5287935
South Dakota,2022,909723
Tennessee,2022,7062217
Texas,2022,30113488
Utah,2022,3391011
Vermont,2022,648142
Virginia,2022,8683414
Washington,2022,7794123
West Virginia,2022,1774122
Wisconsin,2022,5903975
Wyoming,2022,581978
Alabama,2023,5117673
Alaska,2023,736510
Arizona,2023,7473027
Arkansas,2023,3069463
California,2023,39198693
Colorado,2023,5901339
Connecticut,2023,3643023
Delaware,2023,1036423
District of Columbia,2023,687324
Florida,2023,22904868
Georgia,2023,11064432
Hawaii,2023,1441387
Idaho,2023,1971122
Illinois,2023,12642259
Indiana,2023,6880131
Iowa,2023,3218414
Kansas,2023,2951500
Kentucky,2023,4550595
Louisiana,2023,4588071
Maine,2023,1399646
Maryland,2023,6217062
Massachusetts,2023,7066568
Michigan,2023,10083356
Minnesota,2023,5753048
Mississippi,2023,2943172
Missouri,2023,6208038
Montana,2023,1131302
Nebraska,2023,1987864
Nevada,2023,3214363
New Hampshire,2023,1402199
New Jersey,2023,9379642
New Mexico,2023,2121164
New York,2023,19737367
North Carolina,2023,10881189
North Dakota,2023,789047
Ohio,2023,11824034
Oklahoma,2023,4063882
Oregon,2023,4253653
Pennsylvania,2023,13017721
Rhode Island,2023,1103429
South Carolina,2023,5387830
South Dakota,2023,918305
Tennessee,2023,7148304
Texas,2023,30727890
Utah,2023,3443222
Vermont,2023,648708
Virginia,2023,8734685
Washington,2023,7857320
West Virginia,2023,1770495
Wisconsin,2023,5930405
Wyoming,2023,585067
Alabama,2024,5157699
Alaska,2024,740133
Arizona,2024,7582384
Arkansas,2024,3088354
California,2024,39431263
Colorado,2024,5957493
Connecticut,2024,3675069
Delaware,2024,1051917
District of Columbia,2024,702250
Florida,2024,23372215
Georgia,2024,11180878
Hawaii,2024,1446146
Idaho,2024,2001619
Illinois,2024,12710158
Indiana,2024,6924275
Iowa,2024,3241488
Kansas,2024,2970606
Kentucky,2024,4588372
Louisiana,2024,4597740
Maine,2024,1405012
Maryland,2024,6263220
Massachusetts,2024,7136171
Michigan,2024,10140459
Minnesota,2024,5793151
Mississippi,2024,2943045
Missouri,2024,6245466
Montana,2024,1137233
Nebraska,2024,2005465
Nevada,2024,3267467
New Hampshire,2024,1409032
New Jersey,2024,9500851
New Mexico,2024,2130256
New York,2024,19867248
North Carolina,2024,11046024
North Dakota,2024,796568
Ohio,2024,11883304
Oklahoma,2024,4095393
Oregon,2024,4272371
Pennsylvania,2024,13078751
Rhode Island,2024,1112308
South Carolina,2024,5478831
South Dakota,2024,924669
Tennessee,2024,7227750
Texas,2024,31290831
Utah,2024,3503613
Vermont,2024,648493
Virginia,2024,8811195
Washington,2024,7958180
West Virginia,2024,1769979
Wisconsin,2024,5960975
Wyoming,2024,587618
Alabama,2025,5197720
Alaska,2025,743756
Arizona,2025,7691740
Arkansas,2025,3107240
California,2025,39663800
Colorado,2025,6013650
Connecticut,2025,3707120
Delaware,2025,1067410
District of Columbia,2025,717176
Florida,2025,23839600
Georgia,2025,11297300
Hawaii,2025,1450900
Idaho,2025,2032120
Illinois,2025,12778100
Indiana,2025,6968420
Iowa,2025,3264560
Kansas,2025,2989710
Kentucky,2025,4626150
Louisiana,2025,4607410
Maine,2025,1410380
Maryland,2025,6309380
Massachusetts,2025,7205770
Michigan,2025,10197600
Minnesota,2025,5833250
Mississippi,2025,2942920
Missouri,2025,6282890
Montana,2025,1143160
Nebraska,2025,2023070
Nevada,2025,3320570
New Hampshire,2025,1415860
New Jersey,2025,9622060
New Mexico,2025,2139350
New York,2025,19997100
North Carolina,2025,11210900
North Dakota,2025,804089
Ohio,2025,11942600
Oklahoma,2025,4126900
Oregon,2025,4291090
Pennsylvania,2025,13139800
Rhode Island,2025,1121190
South Carolina,2025,5569830
South Dakota,2025,931033
Tennessee,2025,7307200
Texas,2025,31853800
Utah,2025,3564000
Vermont,2025,648278
Virginia,2025,8887700
Washington,2025,8059040
West Virginia,2025,1769460
Wisconsin,2025,5991540
Wyoming,2025,590169
